rank,track,team,run_id,bt_rating,ci_low_95,ci_high_95,n_battles
1,en,jayi2525,SaLT_task4_KimiCSF,1257,1215,1308,344
2,en,jayi2525,SaLT_task4_KimiPlain,1225,1187,1286,296
3,en,jayi2525,SaLT_task4_HumorGen14B,1168,1128,1200,333
4,en,jayi2525,SaLT_task4_HumorGen32B,1135,1097,1174,325
5,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_TRAINSEL_TOP1_B12_04,1127,1055,1184,142
6,en,liana87,UBO_task3_gemini-3_pun,1125,1084,1168,326
7,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_het_1195,1112,1049,1202,115
8,en,arampageos,DUTH_Task4_EN_BEST984_DROP_PATCH_BUCKET_05,1107,1025,1186,110
9,en,arampageos,DUTH_Task4_EN_BEST984_DROP_PATCH_BUCKET_04,1105,1034,1171,126
10,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_mots_1479,1097,1020,1169,123
11,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_BASE_SAFE_B12_00,1097,1035,1166,121
12,en,arampageos,DUTH_Task4_EN_BEST984_DROP_PATCH_BUCKET_02,1092,1020,1147,117
13,en,arampageos,DUTH_Task4_EN_LEAK12_DROP_R01_hom_1991,1090,1030,1152,128
14,en,arampageos,DUTH_Task4_EN_BEST984_DROP_PATCH_BUCKET_06,1088,1016,1153,111
15,en,arampageos,DUTH_Task4_EN_QWEN14_EN_XID_TOP8,1088,1018,1151,116
16,en,arampageos,DUTH_Task4_EN_BEST984_CONFIRM,1087,1026,1159,111
17,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_mots_0083,1084,1019,1159,123
18,en,arampageos,DUTH_Task4_EN_BEST984_PLUS_TRAINSEL_TOP1_B12_00,1079,1019,1148,127
19,en,arampageos,DUTH_Task4_EN_BEST1019_DROP_SUB03,1076,1016,1145,124
20,en,arampageos,DUTH_Task4_EN_QWEN14_EN_XID_TOP1,1070,1004,1135,106
21,en,arampageos,DUTH_Task4_EN_BEST1019_DROP_SUB00,1069,1008,1153,121
22,en,arampageos,DUTH_Task4_EN_FROM8100_TOP5,1069,1003,1142,126
23,en,arampageos,DUTH_Task4_EN_LEAK_TOP13,1067,993,1146,104
24,en,arampageos,DUTH_Task4_EN_LEAK_NOR1_DROP_R02,1066,1004,1130,122
25,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_hom_1803,1066,1006,1147,102
26,en,arampageos,DUTH_Task4_EN_LEAK12_DROP_R02_hom_1803,1065,1007,1124,123
27,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_mots_0535,1063,1002,1123,120
28,en,arampageos,DUTH_Task4_EN_WEIGHTPOOL_TOP1,1063,994,1147,117
29,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_het_1780,1061,992,1153,106
30,en,arampageos,DUTH_Task4_EN_GOOGLE_XID_TOP3,1060,977,1139,114
31,en,arampageos,DUTH_Task4_EN_BEST984_DROP_PATCH_BUCKET_07,1057,986,1123,117
32,en,arampageos,DUTH_Task4_EN_LEAK_NOR1_TOP14,1057,991,1148,108
33,en,arampageos,DUTH_Task4_EN_BEST1019_PLUS_TRAINSEL_TOP1_B12_06,1055,984,1118,117
34,en,arampageos,DUTH_Task4_EN_FROM8100_TOP1,1054,986,1109,126
35,en,arampageos,DUTH_Task4_EN_BEST984_DROP_ID_mots_0027,1051,973,1141,104
36,en,arampageos,DUTH_Task4_EN_BEST1019_CONFIRM,1048,965,1110,127
37,en,arampageos,DUTH_Task4_EN_FROM8100_TOP2,1048,973,1124,114
38,en,arampageos,DUTH_Task4_gemma29bit_EN_balanced,1048,984,1112,115
