rank,track,team,run_id,bt_rating,ci_low_95,ci_high_95,n_battles
1,fr,jayi2525,SaLT_task4_KimiCSF,1395,1342,1449,359
2,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R04,1304,1245,1417,181
3,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_R01_fr_0975,1298,1231,1372,194
4,fr,arampageos,DUTH_Task4_FR_LEAK_TOP21,1295,1242,1412,158
5,fr,arampageos,DUTH_Task4_FR_LEAK_TOP16,1293,1237,1375,181
6,fr,arampageos,DUTH_Task4_FR_LEAK_TOP1,1290,1236,1357,200
7,fr,liana87,UBO_task3_gemini-3-flash_pun,1279,1234,1341,362
8,fr,arampageos,DUTH_Task4_gemma29bit_FR_balanced,1277,1227,1360,211
9,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R05,1276,1210,1361,176
10,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R02,1274,1205,1358,167
11,fr,jayi2525,SaLT_task4_KimiPlain,1272,1221,1318,344
12,fr,arampageos,DUTH_Task4_FR_LEAK_TOP22_CONFIRM,1272,1208,1348,190
13,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R02,1272,1206,1334,182
14,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R12,1259,1180,1337,202
15,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_R20_fr_0804,1256,1202,1340,183
16,fr,jayi2525,SaLT_task4_HumorGen14B,1256,1203,1295,351
17,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R08,1248,1172,1311,179
18,fr,jayi2525,SaLT_task4_HumorGen32B,1246,1205,1293,357
19,fr,arampageos,DUTH_Task4_FR_ANALYSIS_analysis_FR_rule_generation_TOP3,1246,1175,1314,195
20,fr,arampageos,DUTH_Task4_FR_LEAK_TOP22,1242,1180,1292,192
21,fr,arampageos,DUTH_Task4_FR_ANALYSIS_analysis_FR_rule_generation_TOP1,1241,1178,1318,164
22,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_R02_fr_0973,1241,1174,1314,193
23,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R03,1239,1182,1313,181
24,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R09,1236,1167,1320,181
25,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R04,1236,1178,1311,190
26,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R14,1227,1171,1295,186
27,fr,arampageos,DUTH_Task4_FR_IDEXACT_FROM_EN_TOP5,1227,1165,1315,174
28,fr,arampageos,DUTH_Task4_HYBRIDEXACT_FR,1227,1167,1316,161
29,fr,arampageos,DUTH_Task4_FR_WIN_BUCKET_03,1213,1153,1262,186
30,fr,arampageos,DUTH_Task4_FR_LEAK_TOP23,1211,1142,1289,172
31,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R05,1210,1159,1270,188
32,fr,arampageos,DUTH_Task4_FR_LEAK20_DROP_R20_fr_1319,1210,1140,1290,160
33,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R13,1204,1148,1284,174
34,fr,arampageos,DUTH_Task4_FR_LEAK_TOP20,1201,1147,1285,196
35,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R07,1200,1144,1255,172
36,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R06,1199,1154,1259,171
37,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R15,1194,1143,1251,195
38,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_R17_fr_1271,1192,1132,1245,173
39,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_PLUS_R23,1192,1131,1244,168
40,fr,arampageos,DUTH_Task4_FR_ANALYSIS_analysis_FR_rule_generation_TOP2,1191,1134,1249,168
41,fr,ezrasmink,UAms_task4_Chocolatine-2-14B-Instruct-v2.0.3,1191,1149,1230,332
42,fr,arampageos,DUTH_Task4_FR_LEAK22_DROP_R01,1186,1115,1262,182
43,fr,arampageos,DUTH_Task4_FR_IDEXACT_FROM_EN_TOP12,1184,1139,1240,204
44,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_R18_fr_0319,1184,1112,1278,161
45,fr,arampageos,DUTH_Task4_FR_LEAK_NOR13_DROP_R01,1183,1121,1265,166
46,fr,arampageos,DUTH_Task4_FR_WIN_BUCKET_00,1177,1118,1242,157
47,fr,arampageos,DUTH_Task4_FR_WIN_BUCKET_09,1147,1103,1197,212
48,fr,arampageos,DUTH_Task4_HYBRIDSTRONG_FR,1142,1095,1211,181
49,fr,arampageos,DUTH_Task4_FR_LEAK20_DROP_R03_fr_1302,1137,1082,1201,217
50,fr,liana87,UBO_task3_qwen-3-flash_pun,1130,1092,1165,410
51,fr,arampageos,DUTH_Task4_FR_IDEXACT_FROM_EN_TOP20,1091,1032,1145,187
52,fr,arampageos,DUTH_Task4_FR_ANALYSIS_analysis_FR_rule_generation_TOP40,1076,1024,1124,176
53,fr,arampageos,DUTH_Task4_FR_STRONG_one_liner,1074,1037,1115,383
54,fr,arampageos,DUTH_Task4_FR_STRONG_balanced,1053,1015,1089,356
55,fr,liana87,UBO_task3_llama-3_pun,1036,989,1077,342
56,fr,arampageos,DUTH_Task4_FR_ANALYSIS_analysis_FR_rule_generation_TOP60,1036,971,1098,173
57,fr,arampageos,DUTH_Task4_FR_ANALYSIS_TOP61,1032,983,1087,187
58,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSES_ALL_BUCKET_10,1028,977,1076,196
59,fr,liana87,UBO_task3_gemma-3_pun,1022,973,1062,350
60,fr,liana87,UBO_task3_mistral-3_pun,1021,982,1052,325
61,fr,arampageos,DUTH_Task4_FR_WIN_PLUS_TOP40,999,944,1052,209
62,fr,arampageos,DUTH_Task4_FR_ANALYSIS_TOP60_PLUS_R61_R65,999,949,1052,204
63,fr,arampageos,DUTH_Task4_FR_SAFE_CONFIRM,986,937,1024,293
64,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSES_ALL_BUCKET_03,984,930,1037,176
65,fr,arampageos,DUTH_Task4_FR_TRAINSEL2_TOP3,982,947,1016,308
66,fr,arampageos,DUTH_Task4_FR_TRAINSEL2_TOP3_DROP_R03,976,924,1024,285
67,fr,arampageos,DUTH_Task4_FR_ANALYSIS_TOP65,974,910,1021,167
68,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSES_ALL_BUCKET_00,974,920,1015,180
69,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSES_ALL_BUCKET_02,971,903,1028,172
70,fr,arampageos,DUTH_Task4_FR_AN60_PUNWORD_SENSES_ALL_BUCKET_01,962,909,1012,181
71,fr,arampageos,DUTH_Task4_FR_TRAINSEL_BUCKET_00,961,911,1019,259
72,fr,ezrasmink,UAms_task4_Mistral-7B-Instruct-v0.2,961,910,1001,314
73,fr,arampageos,DUTH_Task4_FR_SAFE_MIX_TOP80_PATCH_B00,959,916,1013,288
74,fr,arampageos,DUTH_Task4_FR_FAMILY_TF_TOP12,956,906,1012,226
75,fr,arampageos,DUTH_Task4_FR_SAFE_PLUS_TOP80_B12_00,956,910,999,293
